player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Sayonara,VIT,8,2,0,0,0,0,0,0,0,88,0,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
SUYGETSU,KC,1,1,0,0,0,1,0,0,0,43,0,1,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Avez,KC,1,0,0,0,0,0,0,0,0,33,4,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
dos9,KC,1,1,0,0,1,1,0,0,0,46,1,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
LewN,KC,2,2,0,0,0,0,1,0,0,59,0,1,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
N4RRATE,KC,2,1,0,0,0,0,0,0,0,57,0,1,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
brawk,NRG,8,3,0,0,0,0,0,0,0,61,11,1,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
mada,NRG,7,1,0,0,0,0,0,0,0,44,2,2,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
skuba,NRG,8,1,0,0,3,0,0,0,0,49,1,0,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
Ethan,NRG,8,2,0,0,0,0,0,0,0,54,8,0,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
keiko,NRG,5,7,0,0,1,0,0,0,0,58,1,0,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
Jinggg,PRX,2,0,1,0,0,0,0,0,0,41,1,0,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
invy,PRX,3,0,1,0,0,0,0,0,0,44,10,1,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
f0rsakeN,PRX,7,1,0,0,1,0,0,0,0,40,0,1,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
d4v41,PRX,12,2,1,0,0,0,1,0,0,62,2,1,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
something,PRX,9,3,1,0,0,2,0,0,0,63,1,2,all,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
brawk,NRG,0,2,0,0,0,0,0,0,0,58,3,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
mada,NRG,2,0,0,0,0,0,0,0,0,29,0,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
skuba,NRG,6,0,0,0,0,0,0,0,0,50,0,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
Ethan,NRG,1,1,0,0,0,0,0,0,0,54,1,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
keiko,NRG,1,4,0,0,1,0,0,0,0,70,1,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
Jinggg,PRX,1,0,0,0,0,0,0,0,0,39,1,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
invy,PRX,0,0,0,0,0,0,0,0,0,28,4,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
f0rsakeN,PRX,6,0,0,0,1,0,0,0,0,58,0,0,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
d4v41,PRX,5,1,1,0,0,0,1,0,0,70,1,1,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
something,PRX,3,1,1,0,0,1,0,0,0,65,0,1,Fracture,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
brawk,NRG,2,1,0,0,0,0,0,0,0,62,5,0,Lotus,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
mada,NRG,2,0,0,0,0,0,0,0,0,63,1,1,Lotus,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
skuba,NRG,1,1,0,0,2,0,0,0,0,47,0,0,Lotus,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
